Latitude,Longitude,EA_CODE
-12.592527913701769,33.60166882574695,10507801
-12.676271191406284,33.674003541510686,10507072
-12.465814728584379,33.6266623176368,10507010
-12.409903473344238,33.698774407713884,10507001
-12.452693105330928,33.61854247005216,10507009
-12.489828208560155,33.55294864780141,10507033
-12.465280941325906,33.574095305477385,10507032
-12.432610376413576,33.6813239814608,10507002
-12.443493435576992,33.70195913371152,10507003
-12.445338407944162,33.64540100759257,10507008
-12.446920842177459,33.68290912103707,10507006
-12.451324486757148,33.663322870342576,10507007
-12.469391527426858,33.64625754236489,10507012
-12.476145021679423,33.606764443057656,10507030
-12.475214886766352,33.57947423811788,10507031
-12.486533790055486,33.569135233239535,10507034
-12.490203147879761,33.6000640041403,10507029
-12.656583361133674,33.71390992222116,10507086
-12.593455498302434,33.684971992896486,10507049
-12.634487101114313,33.70035900469577,10507078
-12.684178964653821,33.74144197090921,10507083
-12.60143638322936,33.731937087003764,10507080
-12.620742149500673,33.72462406478574,10507079
-12.641703943767578,33.72649506350133,10507085
-12.674290216988318,33.72522752685256,10507084
-12.620598245232413,33.746758885797725,10507081
-12.651845005539025,33.741147319710365,10507082
-12.523497878327808,33.646846550873626,10507022
-12.483883130034231,33.65145864747237,10507013
-12.494932295817792,33.65077138266578,10507024
-12.479641848023876,33.66159555240951,10507014
-12.50232057739991,33.668671761260775,10507023
-12.467470374297836,33.672181131107564,10507005
-12.468212029974522,33.69405339472709,10507004
-12.486730167740149,33.68845538310114,10507015
-12.528368835622315,33.680740913012606,10507019
-12.504687403898288,33.69158550131706,10507016
-12.514179425481496,33.62588439025924,10507027
-12.517245334470164,33.56624952551125,10507036
-12.513727167776796,33.70531294988749,10507017
-12.544687049039275,33.67195117010364,10507020
-12.551176411901062,33.65934359643597,10507045
-12.535877210781502,33.61918795345473,10507041
-12.504225833795648,33.58679082168372,10507035
-12.490997115044735,33.63532623872733,10507025
-12.50403226253744,33.635290254863364,10507026
-12.481988167513352,33.6332311955928,10507011
-12.505545658007296,33.607887885774076,10507028
-12.525200494291639,33.586417969660104,10507038
-12.530559253534234,33.60347876799541,10507040
-12.536515366866233,33.70250584044591,10507018
-12.564243230820237,33.68385645977465,10507046
-12.55903694885042,33.706068175573336,10507047
-12.583412435061373,33.71214798846681,10507048
-12.615498428953257,33.69647544326576,10507077
-12.528544261793828,33.660403639288056,10507021
-12.658098457894395,33.57117780129259,10507067
-12.638573343498123,33.650590567706715,10507075
-12.624219038566022,33.66927428140982,10507076
-12.57669313794539,33.615081453879675,10507055
-12.572292020320848,33.65687847888168,10507044
-12.622402657220505,33.62586047468819,10507063
-12.546471262534352,33.6341947918328,10507042
-12.59180254082222,33.66471297416656,10507050
-12.559378785086546,33.6315069791247,10507043
-12.58028609751794,33.632003135181556,10507054
-12.598265189528073,33.594812739503624,10507802
-12.610542707472911,33.60054411874822,10507062
-12.598218176641254,33.64692741898619,10507051
-12.599604947987341,33.619816055266625,10507053
-12.614670773379624,33.64359897800956,10507052
-12.548049874588251,33.59322592370462,10507039
-12.5598474087648,33.59896599445268,10507056
-12.57707496151191,33.590248249393916,10507057
-12.59133148041742,33.56980717194858,10507058
-12.604048323560987,33.57971482517304,10507060
-12.617243712016675,33.56555028416491,10507059
-12.621905512140161,33.595189857632086,10507061
-12.636693772425952,33.56948079291315,10507066
-12.660709074136202,33.58940488111622,10507068
-12.64394219887334,33.6154103788583,10507064
-12.63563776163449,33.59821205203401,10507065
-12.676515165607684,33.63524402843171,10507070
-12.688192153621399,33.70155904364462,10507088
-12.660709152072402,33.696728185826565,10507087
-12.647291575994172,33.67564673695093,10507073
-12.655178668238067,33.62724281736039,10507069
-12.657508198640555,33.6566094941666,10507074
-12.682365018830405,33.65862321256333,10507071
-12.70380977335228,33.64444788509815,10507092
-12.718747013690173,33.65060505873241,10507093
-12.728751493362253,33.66248983431401,10507094
-12.722430101111737,33.68339583203459,10507090
-12.709532762442445,33.7034263471676,10507089
-12.70382312302302,33.67403734032449,10507091
-12.544048893649729,33.57465312154413,10507037
-12.343911303550406,33.607530455946346,10511802
-12.349087591357389,33.62343427609748,10511010
-12.352012511917541,33.727060101591256,10511015
-12.413657436885384,33.63148157634012,10511901
-12.363134528169054,33.68021801534137,10511011
-12.332264980964025,33.68803224677691,10511012
-12.32948551185462,33.731489520162405,10511014
-12.34235441733333,33.704951349351866,10511013
-12.380720539338151,33.55289568345762,10511006
-12.3767732603969,33.573964641926665,10511007
-12.363296223413265,33.562988714105444,10511005
-12.339345473273752,33.591106185379395,10511001
-12.34697450291378,33.569937092404736,10511003
-12.355784853046762,33.55519231639591,10511004
-12.355309300991992,33.59150933642002,10511002
-12.368935737401765,33.59553029705037,10511008
-12.370094238833653,33.61940649927703,10511009
-12.338539600269801,33.61322151179852,10511801
-12.073033597647093,33.48933294085532,10510001
-12.130406967095126,33.47282830245976,10510801
-12.259637950019696,33.46729792958524,10510049
-12.26173321484549,33.48456540493683,10510048
-12.239490570897287,33.49755941148335,10510047
-12.240017662424028,33.47145575763831,10510046
-12.20977962842842,33.488515930780714,10510019
-12.241615686190894,33.416336886547924,10510043
-12.245227004451142,33.43918721050578,10510044
-12.215610051580393,33.377190997721755,10510033
-12.199641215416571,33.36802208386846,10510032
-12.173422403728392,33.36486750865608,10510028
-12.231932390030776,33.40548928904808,10510036
-12.222592722617007,33.4018414219072,10510035
-12.208634175109996,33.39825275530808,10510034
-12.231743493906675,33.45679964948835,10510045
-12.225327853282023,33.43808308099784,10510042
-12.21334572913437,33.41826731903037,10510037
